,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, ANTARA ,,, TECHNOLGENT ,,, CHAN WAI ,,, BOND ,,, SGME ,,, DAGANG JATI ,,
ITEM,DESCRIPTION,,QTY, Rate , Total Amount , Rate , Total Amount ,, Rate , Total Amount , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
04.01.01,,2500  KVA,2," 351,750.00 "," 703,500.00 "," 351,750.00 "," 703,500.00 ",,,," 352,000.00 "," 704,000.00 ",," 405,250.00 "," 810,500.00 ",," 465,000.00 "," 930,000.00 ",," 378,350.00 "," 756,700.00 ",,,,,,,
04.01.02,,2000  KVA,2," 325,500.00 "," 651,000.00 "," 325,500.00 "," 651,000.00 ",,,," 291,500.00 "," 583,000.00 ",," 376,500.00 "," 753,000.00 ",," 350,000.00 "," 700,000.00 ",," 319,700.00 "," 639,400.00 ",,,,,,,
04.01.03,,1000  KVA,0,  ,  ,  ,  ,,,,, -   ,," 227,000.00 ", -   ,," 325,000.00 "," 650,000.00 ",,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,, -   , -   ,,,,,,,,,,
04.02.00,,Factory Witness & Acceptance testing for min. 5 personnel for all necessary equipment. (in Malaysia),1," 25,000.00 "," 25,000.00 "," 25,000.00 "," 25,000.00 ",,,," 30,000.00 "," 30,000.00 ",," 10,000.00 "," 10,000.00 ",,,,," 6,900.00 "," 34,500.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 10,000.00 "," 10,000.00 ",,,,,,,,,,
05.00.00,,TO SUPPLY AND DELIVER BUSDUCT/CABLE CONNECTION FROM TX TO MSB C/W NECESSARY ACCESSORIES FOR COMPLETION OF SYSTEM :-,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
05.01.00,,"3500A 4P TPN Aluminium Bus Duct (IP55) from TX1 to EMSB-ASRS           
Approx length: ",90," 1,908.00 "," 171,720.00 "," 1,908.00 "," 171,720.00 ",,,," 1,935.93 "," 174,234.00 ",," 2,562.00 "," 230,580.00 ",,,,," 2,088.00 "," 187,920.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 1,697.00 "," 152,730.00 ",,,,,,,,,,
05.02.00,,"3500A 4P TPN Aluminium Bus Duct (IP55) from TX2 to EMSB-ASRS           
Approx length: ",90," 1,908.00 "," 171,720.00 "," 1,908.00 "," 171,720.00 ",,,," 1,935.93 "," 174,234.00 ",," 2,562.00 "," 230,580.00 ",,,,," 2,088.00 "," 187,920.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 1,697.00 "," 152,730.00 ",,,,,,,,,,
05.03.00,,"5000A 4P TPN Aluminium Bus Duct (IP55) from TX3 to EMSB-COLDROOM            
Approx length: ",160," 2,639.00 "," 422,240.00 "," 2,639.00 "," 422,240.00 ",,,," 2,939.55 "," 470,328.00 ",," 3,632.00 "," 581,120.00 ",,,,," 2,640.00 "," 422,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 2,713.00 "," 434,080.00 ",,,,,,,,,,
05.04.00,,"5000A 4P TPN Aluminium Bus Duct (IP55) from TX4 to EMSB-COLDROOM            
Approx length: ",160," 2,639.00 "," 422,240.00 "," 2,639.00 "," 422,240.00 ",,,," 2,939.55 "," 470,328.00 ",," 3,632.00 "," 581,120.00 ",,,,," 2,640.00 "," 422,400.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 2,713.00 "," 434,080.00 ",,,,,,,,,,
05.05.00,,"3000A 4P TPN Aluminium Bus Duct (IP55) from TX5 to MSB-LANDLORD             
Approx length: m",90," 1,504.00 "," 135,360.00 "," 1,504.00 "," 135,360.00 ",,,," 1,642.49 "," 147,824.00 ",," 2,182.50 "," 196,425.00 ",,,,," 1,502.00 "," 135,180.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,," 1,456.00 "," 131,040.00 ",,,,,,,,,,
