ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
02.02.04.2,,"4 Core SM Fiber Optic Cable to Fire Control Room
Approx Length: m",,Lot,Rate Only,, Rate Only ,,, Rate Only , 43.24 , Rate Only ,,, Rate Only ,, 58/meter length , Rate Only ,, 19.00 , Rate Only ,, 15.00 , Rate Only ,
02.02.04.3,,"8 Core SM Fiber Optic Cable
Approx Length: m",,Lot,Rate Only,, Rate Only ,,, Rate Only , 44.74 , Rate Only ,,, Rate Only ,, 58/meter length , Rate Only ,, 26.00 , Rate Only ,, 18.00 , Rate Only ,
02.02.04.4,,"16 Core SM Fiber Optic Cable
Approx Length: 2900m",,Lot,1,, -   ,100%, -   , -   ," 149,100.60 "," 149,100.60 ",," 109,200.00 "," 109,200.00 ", 28/M ," 101,500.00 "," 101,500.00 ", 35/M ," 63,800.00 "," 63,800.00 ",," 56,550.00 "," 56,550.00 ",
02.02.04.5,,"48 Core SM Fiber Optic Cable
Approx Length: 210m",,Lot,1,, -   ,100%, -   , -   ," 12,229.14 "," 12,229.14 ",," 9,600.00 "," 9,600.00 ", 40/M ," 9,450.00 "," 9,450.00 ", 45/M ," 5,936.00 "," 5,936.00 ",," 5,460.00 "," 5,460.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.05,,"Supply and install 2 core SM Fibre Optic Cable in trunking/concealed conduit from the FTB to the Soho Box c/w splicing, cabling & equipment all as per drawings and specifications.",,Lot,Rate Only,, Rate Only ,,, Rate Only , TBD , Rate Only ,, 20.00 , Rate Only ,, rm500/Point , Rate Only ,,, Rate Only ,, 15.00 , Rate Only ,
,,,,,,,,,,,,,,,,,,,,,,,,,
02.02.06,,Supply and install Fibre Termination Box (FTB) as per drawings and Telekom's specification.,,,,,,,,,,,,,,,,,,,,,,,
02.02.06.1,,4 Port FTB,,No,Rate Only,, Rate Only ,,, Rate Only , 267.40 , Rate Only ,,, Rate Only ,, 150.00 , Rate Only ,, 173.00 , Rate Only ,,, Rate Only ,
02.02.06.2,,8 Port FTB,,No,Rate Only,, Rate Only ,,, Rate Only , 601.90 , Rate Only ,,, Rate Only ,, 200.00 , Rate Only ,, 247.00 , Rate Only ,,, Rate Only ,
02.02.06.3,,16 Port FTB,,No,23,, -   ,100%, -   , -   ," 1,008.30 "," 23,190.90 ",, 240.00 ," 5,520.00 ",, 300.00 ," 6,900.00 ",, 447.00 ," 10,281.00 ",, 400.00 ," 9,200.00 ",
02.02.06.4,,24 Port FTB,,No,Rate Only,, Rate Only ,,, Rate Only ," 1,414.70 ", Rate Only ,,, Rate Only ,, 400.00 , Rate Only ,, 573.00 , Rate Only ,,, Rate Only ,
02.02.06.4,,48 Port FTB,,No,2,, -   ,100%, -   , -   ," 2,708.90 "," 5,417.80 ",, 430.00 , 860.00 ,, 550.00 ," 1,100.00 ",," 1,013.00 "," 2,026.00 ",, 650.00 ," 1,300.00 ",
