ALP2 - FIRE - BOQ,,,,,,,,,,,,,
,,,,,,,,1,,,2,,
,,,,,,,, FITTERS ,,, ASIAMOST ,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , AMOUNT  , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,ï DN 350 (AV 12 - 16) (Warehouse),,Lot,1,,,, -   ,," 1,226,130.00 "," 1,226,130.00 ",
,,ï DN 350 (AV 17 - 21) (Warehouse),,Lot,1,,,," 579,972.00 ",," 1,400,340.00 "," 1,400,340.00 ",
,,ï DN 350 (AV 22 - 23) (Warehouse),,Lot,1,,,, -   ,," 609,720.00 "," 609,720.00 ",
,,ï DN 350 (AV 24 - 31) (ASRS),,Lot,1,,,, -   ,," 1,038,530.00 "," 1,038,530.00 ",
,,,,,,,,,,,,,
02.03.03,,"TO SUPPLY AND INSTALL valves and accessories within fire pump room and from fire sprinkler tank to fire pump room including necessary isolation valves with tamper switches, inlet ball float valves, pressure gauges, check valves, air vents, air release valves, strainers, flexible joints, test points, pressure switchs, spring isolators, vortex inhibitor, red painting, grooved mechanical coupling, screwed and threaded malleable iron pipe fittings, bracket, angle bar, support, etc for the complete installation and connection of respective fire pumpsets within the room as shown in the tender drawing.",,Lot,1,,,," 49,262.00 ",,,Inclusive,
,,,,,,,,,,,,,
02.04.00,,SPRINKLER ALARM ASSEMBLY CONTROL VALVE,,,,,,,,,,,
,,,,,,,,,,,,,
02.04.01,,"TO SUPPLY AND INSTALL sprinkler UL listed and FM approved alarm assembly control valve set c/w isolation valves with tamper switches, wet alarm valves, pipework, fittings, grooved mechanical coupling, valves, supports, bracket, angle iron, pressure gauges, UL listed and FM approved flow meter and all other necessary accessories.",,Lot,31         18,,,," 411,705.00 ",," 69,640.00 "," 1,253,520.00 ",
,,,,,,,,,,,,,
,,PRE-ACTION SYSTEM,,,,,,,,,,,
,,"TO SUPPLY AND INSTALL Pre-Action Valve UL listed and FM approved alarm assembly control valve set c/w isolation valves with tamper switches, wet alarm valves, pipework, fittings, grooved mechanical coupling, valves, supports, bracket, angle iron, pressure gauges, UL listed and FM approved flow meter and all other necessary accessories at ASRS Raking and Platform Area",,Lot,27,,,," 1,060,275.00 ",,,,
,,,,,,,,,,,,,
02.04.03,,"TO SUPPLY AND INSTALL UL listed and FM approved retard type sprinkler flow switches c/w supports, bracket, angle iron, and all other necessary accessories.",,Lot,31         42,,,," 85,470.00 ",," 2,620.00 "," 110,040.00 ",
,,,,,,,,,,,,  ,
02.04.05,,"TO SUPPLY AND INSTALL above and below ground black steel 'B' sprinkler flow switch drain pipes tee off after flow switches to the nearest drain for each flow switch at all sprinkler assembly alarm valve sets c/w isolation valves, bracket, support, fitting and all other necessary accessories.",,Lot,1,,,," 243,461.00 ",," 51,770.00 "," 51,770.00 ",
,,,,,,,,,,,,  ,
02.05.00,,"SPRINKLER PIPEWORK

TO SUPPLY & INSTALL Black Steel Class 'B' Pipes from sprinkler assembly control valve set below to warehouse c/w fittings, screw and threaded malleable iron fittings, FM approved and UL listed grooved mechanical coupling, brackets, automatic air release valves, supports, L angle, anchor iron, anchor bar, pipe painting, pipe marking and any other necessary accessories.",,,,,,,,,,  ,
02.05.01,,AV 1 - 6 (Office & Ramp Area),,,,,,,,,,  ,
02.05.01.01,,250mmÿ ,,Lot,1,,,, -   ,," 123,370.00 "," 123,370.00 ",
02.05.01.02,,150mmÿ  ,,Lot,1,,,," 349,962.00 ",," 232,390.00 "," 232,390.00 ",
02.05.01.03,,100mmÿ  ,,Lot,1,,,," 2,523.00 ",," 23,720.00 "," 23,720.00 ",
02.05.01.04,,80mmÿ    ,,Lot,1,,,, -   ,," 100,790.00 "," 100,790.00 ",
02.05.01.05,,65mmÿ    ,,Lot,1,,,," 7,814.00 ",," 15,310.00 "," 15,310.00 ",
02.05.01.06,,50mmÿ    ,,Lot,1,,,," 48,404.00 ",," 15,100.00 "," 15,100.00 ",
02.05.01.07,,40mmÿ    ,,Lot,1,,,," 61,473.00 ",," 8,440.00 "," 8,440.00 ",
02.05.01.08,,32mmÿ    ,,Lot,1,,,," 83,817.00 ",," 8,050.00 "," 8,050.00 ",
02.05.01.09,,25mmÿ   ,,Lot,1,,,," 40,289.00 ",," 5,610.00 "," 5,610.00 ",
,,,,,,,,,,,,  ,
02.05.02,,AV 7-11 (Warehouse - GF & GF Mezz),,,,,,,,,,  ,
02.05.02.01,,250mmÿ  ,,Lot,1,,,," 250,234.00 ",," 1,153,600.00 "," 1,153,600.00 ",
02.05.02.02,,150mmÿ  ,,Lot,1,,,," 105,569.00 ",," 223,460.00 "," 223,460.00 ",
02.05.02.03,,100mmÿ  ,,Lot,1,,,, -   ,,,  ,
02.05.02.04,,80mmÿ    ,,Lot,1,,,, -   ,," 488,500.00 "," 488,500.00 ",
02.05.02.05,,65mmÿ    ,,Lot,1,,,," 127,788.00 ",," 83,860.00 "," 83,860.00 ",
