ALP2-BMS-BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,
5.03,,Chiller Plant Room Supply and Return Water Temperature Sensor for Chilled Water and Condenser Water Systems with end-to-end measurement uncertainty not exceeding +/- 0.05 degrees Celsius.,,Lot,1,, -   ,100%, -   , -   ," 2,200.00 "," 2,200.00 ",," 4,000.00 "," 4,000.00 ",,,,,, Included ,," 10,740.00 "," 10,740.00 ",," 7,500.00 "," 7,500.00 ",," 1,900.00 "," 3,800.00 ", Qty: 2 Nos. 
5.04,,Thermowells for water temperature sensors. To ensure quantity is sufficient for required number of temperature sensors as well as additional thermowells before and after each temperature sensor for measurement and verification.,,Lot,1,, -   ,100%, -   , -   ," 7,500.00 "," 7,500.00 ",," 4,500.00 "," 4,500.00 ",,,,,, Included ,," 4,150.00 "," 4,150.00 ",, Included , Included ,, 200.00 ," 5,600.00 ", Qty: 28 Nos. 
5.05,,Flow meter full bore electromagnetic,,Lot,1,, -   ,100%, -   , -   ," 35,000.00 "," 35,000.00 ",, By Other , By Other ,,, By others ,,, Excluded ,, -   , by others ,," 15,500.00 "," 15,500.00 ",," 16,000.00 "," 32,000.00 ", Qty: 2 Nos. 
5.06,,BTU Meter,,Lot,1,, -   ,100%, -   , -   ," 28,000.00 "," 28,000.00 ",, By Other , By Other ,,, By others ,,, Excluded ,, -   , by others ,," 11,000.00 "," 11,000.00 ",," 14,000.00 "," 14,000.00 ",
5.07,,Filter Dirty Sensor (Differential Pressure Sensor),,Lot,1,, -   ,100%, -   , -   , N/A , N/A ,, 300.00 , 300.00 ,," 2,200.00 "," 2,200.00 ",,, Excluded ,," 1,500.00 "," 1,500.00 ",, 950.00 , 950.00 ,, 330.00 , 330.00 ,
5.08,,"Water Differential Pressure Sensor
",,Lot,1,, -   ,100%, -   , -   ," 8,800.00 "," 8,800.00 ",," 12,000.00 "," 12,000.00 ",," 16,800.00 "," 16,800.00 ",,, Included ,," 10,620.00 "," 10,620.00 ",," 8,750.00 "," 8,750.00 ",," 1,800.00 "," 14,400.00 ",
I,,"Others; Please Specify (Nexa Control)
Water Level sensor
",,Lot,1,, -   ,100%, -   , -   ," 6,000.00 "," 6,000.00 ",,,,,,,,,,,,,,,,,, -   ,
I,,"Others; Please Specify (Solar District)
",,Lot,1,, -   ,100%, -   , -   ,,,,,,," 3,200.00 "," 3,200.00 ",,,,,,,,,,,, -   ,
I,,"Others; Please Specify (Oberix)
Water Level sensor
",,Lot,1,, -   ,100%, -   , -   ,,,,,,,,,,,,," 5,750.00 "," 5,750.00 ",,,,,, -   ,
I,,"Others; Please Specify (MIP)
Water Level switch
",,Lot,12,, -   ,100%, -   , -   ,,,,,,,,,,,,,,,," 1,200.00 "," 14,400.00 ",,, -   ,
I,,"Others; Please Specify (MIP)
Water Differential Pressure
",,Lot,3,, -   ,100%, -   , -   ,,,,,,,,,,,,,,,," 2,950.00 "," 8,850.00 ",,, -   ,
I,,"Others; Please Specify (MIP)
Flow meter (300mm)
",,Lot,1,, -   ,100%, -   , -   ,,,,,,,,,,,,,,,," 18,000.00 "," 18,000.00 ",,, -   ,
I,,"Others; Please Specify (NSI)
Supply/return air temp
",,Lot,20,, -   ,100%, -   , -   ,,,,,,,,,,,,,,,," 18,000.00 "," 360,000.00 ",, 190.00 ," 3,800.00 ",
I,,"Others; Please Specify (NSI)
CDW supply/return temp
",,Lot,8,, -   ,100%, -   , -   ,,,,,,,,,,,,,,,," 18,000.00 "," 144,000.00 ",, 380.00 ," 3,040.00 ",
,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR 5.0 FIELD DEVICES AND INSTRUMENTATION TO BE CONNECTED TO BMS SYSTEM (RM),,,,, -   ,,, -   ,," 95,900.00 ",,," 28,300.00 ",,," 32,000.00 ",,, -   ,,," 34,210.00 ",,," 589,950.00 ",,," 86,850.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.00,,"Supply and install all communication cabling c/w all wirings, conduits, trunking, installation, termination, electrical works and accessories to interface with BMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.01,,Firewall to BMS server,,Lot,1,, -   ,100%, -   , -   ," 1,000.00 "," 1,000.00 ",, By Others , By Others ,,," 330,000.00 ",,, Included ,, -   , included ,," 665,000.00 "," 665,000.00 ",, 200.00 , 200.00 ,
