ALP2 - ACMV - BOQ,,,,,,,
,,,,,,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , SPECIFIC DIMENSION 
03.03.15,,FAF-M01-SC-01,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.16,,EXF-M01-SC-02,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.17,,FAF-M01-SC-02,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.18,,EXF-M01-SC-03,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.19,,FAF-M01-SC-03,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.20,,EXF-M01-TOILET(F)-01,,,,,
,,Exhaust Air Grille ,,Lot,1, 750.00 , 750.00 
,,External Louver ,,Lot,1, 430.00 , 430.00 
,,,,,,,
03.03.21,,EXF-M01-TOILET(M)-01,,,,,
,,Exhaust Air Grille ,,Lot,1, 930.00 , 930.00 
,,External Louver ,,Lot,1, 430.00 , 430.00 
,,,,,,,
03.03.22,,EXF-M02-SC-01,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.23,,FAF-M02-SC-01,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.24,,EXF-M02-SC-02,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.25,,FAF-M02-SC-02,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.26,,EXF-M02-SC-03,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.27,,FAF-M02-SC-03,,,,,
,,Exhaust Air Grille ,,Lot,1," 3,020.00 "," 3,020.00 "
,,External Louver ,,Lot,1," 8,910.00 "," 8,910.00 "
,,,,,,,
03.03.28,,EXF-M02-TOILET(F)-01,,,,,
,,Exhaust Air Grille ,,Lot,1, 750.00 , 750.00 
,,External Louver ,,Lot,1, 430.00 , 430.00 
,,,,,,,
03.03.29,,EXF-M02-TOILET(M)-01,,,,,
,,Exhaust Air Grille ,,Lot,1, 930.00 , 930.00 
,,External Louver ,,Lot,1, 430.00 , 430.00 
,,,,,,,
03.03.30,,EXF-R00-CHW-01,,,,,
,,Exhaust Air Grille ,,Lot,1," 2,680.00 "," 2,680.00 "
,,External Louver ,,Lot,1," 1,970.00 "," 1,970.00 "
,,,,,,,
03.03.31,,EXF-R00-DCW-01,,,,,
