ALP2 - EARTHING & LIGHTNING PROTECTION SERVICES (ELPS),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,1,,,2,,,3,,,4,,
,,,,,,BASE COST,,100%,SUBMISSION,, DELTRIC ,,, DELTRIC R1 ,,, PEKAT ,,, ENPRO ,,, TOKAI ,,
ITEM,,DESCRIPTION, U/R ,UNIT,QTY, RATE , AMOUNT ,, RATE , AMOUNT , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK , RATE , AMOUNT , REMARK 
02.04.00,,"OTHER ITEMS
Other items not mentioned in the previous
breakdown sheet but shown in the
drawings or described in the specification
and required by legislation or obviously
necessary FOR completion and efficient
operation of the installation. If all
items have been included write “NIL”,
otherwise full details are to be given",,,,,,,,,,,,,,,,,,,,,,,
02.04.01,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.02,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.03,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total 02.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 324,840.00 ",,," 324,840.00 ",," 388,802.00 ",,," 354,370.00 ",,," 579,431.60 ",,," 508,538.00 ",,," 530,741.00 ",
03.00.00,,EARTHING SYSTEM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.00,,To supply and install six way earth bar c/w termination and all necessary accessories.,,No,29, 500.00 ," 14,500.00 ",100%, 500.00 ," 14,500.00 ", 500.00 ," 14,500.00 ", 29 NOS , 500.00 ," 14,500.00 ", 29 NOS ,," 13,804.00 ", 29 NOS ,  LS  ," 16,100.00 ",, 597.00 ," 17,313.00 ", 29 NOS 
,,,,,ori 23,,,,,,,,,,,,,,,,,,,,
,,PVC Cable,,,,,,,,,,,,,,,,,,,,,,,
03.02.00,,Supply and install respective PVC conductor cable and equip-potential from earth bar to service pilecap level as shown in drawing c/w termination and all necessary accessories.,,,,,,,,,,,,,,,,,,,,,,,
03.02.01,,Detail 1,,No,29,, -   ,100%, -   , -   ," 2,520.00 "," 75,600.00 ", 30 nos ," 2,520.00 "," 75,600.00 ", 30 nos ,, Included in item 02.01.05 , 53 nos ,  LS  ," 43,765.00 ",,, -   ,
03.02.02,,Detail 2,,No,14," 1,800.00 "," 25,200.00 ",100%," 1,800.00 "," 25,200.00 "," 2,700.00 "," 37,800.00 ",," 2,700.00 "," 37,800.00 ",,," 31,202.30 ",,  LS  ," 24,566.00 ",," 2,549.00 "," 35,686.00 ",
,,120 PVC (CU), 100.00 ,M,10," 1,000.00 ",,,,,,,,,,,,,,,,,,,
,,95 PVC (CU), 80.00 ,M,10, 800.00 ,,,,,,,,,,,,,,,,,,,
03.02.03,,Detail 3,,No,11," 2,300.00 "," 25,300.00 ",100%," 2,300.00 "," 25,300.00 "," 2,820.00 "," 31,020.00 ",," 2,820.00 "," 31,020.00 ",,," 30,674.40 ",,  LS  ," 22,665.00 ",," 3,120.00 "," 34,320.00 ",
,,150 PVC (CU), 150.00 ,M,10," 1,500.00 ",,,,,,,,,,,,,,,,,,,
,,95 PVC (CU), 80.00 ,M,10, 800.00 ,,,,,,,,,,,,,,,,,,,
03.02.04,,Detail 4,,No,2," 3,600.00 "," 7,200.00 ",100%," 3,600.00 "," 7,200.00 "," 3,120.00 "," 6,240.00 ",," 3,120.00 "," 6,240.00 ",,," 7,066.20 ",,  LS  ," 7,696.00 ",," 4,027.00 "," 8,054.00 ",
,,120 PVC (CU), 100.00 ,M,20," 2,000.00 ",,,,,,,,,,,,,,,,,,,
,,95 PVC (CU), 80.00 ,M,20," 1,600.00 ",,,,,,,,,,,,,,,,,,,
03.02.05,,Detail 5,,No,1," 8,280.00 "," 8,280.00 ",100%," 8,280.00 "," 8,280.00 "," 5,850.00 "," 5,850.00 ",," 5,850.00 "," 5,850.00 ",,," 6,523.60 ",,  LS  ," 9,350.00 ",," 7,926.00 "," 7,926.00 ",
,,150 PVC (CU), 150.00 ,M,36," 5,400.00 ",,,,,,,,,,,,,,,,,,,
,,95 PVC (CU), 80.00 ,M,36," 2,880.00 ",,,,,,,,,,,,,,,,,,,
03.02.06,,Detail 6,,No,1," 8,280.00 "," 8,280.00 ",100%," 8,280.00 "," 8,280.00 "," 5,850.00 "," 5,850.00 ",," 5,850.00 "," 5,850.00 ",,," 6,407.30 ",,  LS  ," 9,350.00 ",," 7,926.00 "," 7,926.00 ",
,,150 PVC (CU), 150.00 ,M,36," 5,400.00 ",,,,,,,,,,,,,,,,,,,
,,95 PVC (CU), 80.00 ,M,36," 2,880.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.00,,"Supply and install heavy duty inspection earth chamber from frame/neutral earth bar c/w 95mm2 copper PVC cable, tape, clamps, copperbond earth electrodes, couplings, exothermic joints, and all necessary accessories.",,Lot,58," 2,000.00 "," 116,000.00 ",100%," 2,000.00 "," 116,000.00 "," 1,467.24 "," 85,100.00 ", 1 lot ," 85,100.00 "," 85,100.00 ", 1 lot ," 1,696.86 "," 49,208.90 ", 29 nos ,  LS  ," 121,238.00 ",," 3,042.00 "," 88,218.00 ", 29 NOS 
,,,,,,,,,,,,,,,,,,,,,,,,,
03.04.00,,"Supply and install earthing connection  at service pilecap using  exothermic joints for cable to copper tape, cable to rebar  c/w exothermic welding, 25mm x 3mm horizontal interlinking tapes for equipment earthing to achieve 1 ohms or below complying to  BS 7430.",,LS,1," 121,600.00 "," 121,600.00 ",100%," 121,600.00 "," 121,600.00 "," 110,540.00 "," 110,540.00 ",," 72,780.00 "," 72,780.00 ",,," 79,702.40 ",,  LS  ," 97,545.00 ",," 106,567.00 "," 106,567.00 ",
,,Exothermic welding, 120.00 ,NOS,180," 21,600.00 ",,,,,,,,,,,,,,,,,,,
,,25mm x 3mm copper tape, 100.00 ,M,"1,000"," 100,000.00 ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
03.05.00,,"OTHER ITEMS
Other items not mentioned in the previous
breakdown sheet but shown in the
drawings or described in the specification
and required by legislation or obviously
necessary FOR completion and efficient
operation of the installation. If all
items have been included write “NIL”,
otherwise full details are to be given",,,,,,,,,,,,,,,,,,,,,,,
03.05.01,,,,,,,,,,,,,,,,,,,,,,,,,
03.05.02,,,,,,,,,,,,,,,,,,,,,,,,,
03.05.03,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total 03.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 326,360.00 ",,," 326,360.00 ",," 372,500.00 ",,," 334,740.00 ",,," 224,589.10 ",,," 352,275.00 ",,," 306,010.00 ",
,,Grand Total To Be Carried Forward To Summary of Tender Prices,,,,," 717,200.00 ",,," 717,200.00 ",," 827,302.00 ",,," 755,110.00 ",,," 886,220.70 ",,," 336,175.00 ",,," 940,951.00 ",
